iter	MAE
494	3.768447667
495	3.768192888
496	3.768022849
497	3.767495593
498	3.767056992
499	3.766820314
500	3.76639815
501	3.766104854
502	3.765972821
503	3.765175071
504	3.763980798
505	3.763613399
506	3.763502885
507	3.762961833
508	3.762763547
509	3.762486325
510	3.761799134
511	3.761025511
512	3.760583224
513	3.760355472
514	3.76012005
515	3.759567289
516	3.759183904
517	3.758857809
518	3.758541127
519	3.757169761
520	3.756777936
521	3.756204853
522	3.755832388
523	3.755540506
524	3.755250847
525	3.754661557
526	3.754481877
527	3.753827951
528	3.753163402
529	3.752973448
530	3.752044679
531	3.751556904
532	3.751322393
533	3.750815497
534	3.750584928
535	3.750384392
536	3.749499238
537	3.749199764
538	3.748585081
539	3.748369081
540	3.748074132
541	3.747836433
542	3.747177333
543	3.746688282
544	3.746195849
545	3.745918296
546	3.745707993
547	3.745602609
548	3.744061992
549	3.74352512
550	3.742880692
551	3.742301311
552	3.742004266
553	3.741522399
554	3.740827104
555	3.740384049
556	3.740231706
557	3.739483123
558	3.73921472
559	3.738336815
560	3.737610982
561	3.737412909
562	3.735979582
563	3.735458385
564	3.735204961
565	3.73515674
566	3.734581989
567	3.734141499
568	3.733966878
569	3.733872429
570	3.733466738
571	3.73318809
572	3.732705116
573	3.732615343
574	3.73255933
575	3.732244369
576	3.731959469
577	3.731800868
578	3.731713664
579	3.731439396
580	3.731340768
581	3.731176572
582	3.730962704
583	3.730597507
584	3.730140718
585	3.729842531
586	3.729443249
587	3.729357032
588	3.728873
589	3.72855656
590	3.728248703
591	3.727299892
592	3.726986226
593	3.726151109
594	3.725999795
595	3.725853657
596	3.725146623
597	3.724716943
598	3.724554799
599	3.724004942
600	3.723908696
601	3.72341327
602	3.723241815
603	3.723163225
604	3.722242425
605	3.721612834
606	3.721545065
607	3.721383146
608	3.720833717
609	3.720711138
610	3.720426605
611	3.719361826
612	3.718794
613	3.718316412
614	3.718242647
615	3.717653749
616	3.717401415
617	3.717240925
618	3.716154499
619	3.71592593
620	3.715432081
621	3.714836895
622	3.714790527
623	3.714667228
624	3.714212269
625	3.713988928
626	3.713701893
627	3.713521182
628	3.713212672
629	3.712435964
630	3.711975521
631	3.711755608
632	3.711521752
633	3.711341277
634	3.711164982
635	3.710967681
636	3.710627853
637	3.710528673
638	3.710373192
639	3.71022103
640	3.709792837
641	3.709633073
642	3.709419398
643	3.709129184
644	3.708901606
645	3.708875074
646	3.707703551
647	3.707654447
648	3.707598597
649	3.707512309
650	3.706746595
651	3.706655207
652	3.706303974
653	3.705840147
654	3.705721234
655	3.705573507
656	3.705497926
657	3.704801662
658	3.704370888
659	3.704121989
660	3.703704701
661	3.703209367
662	3.702683543
663	3.702493326
664	3.702346989
665	3.70185702
666	3.701581525
667	3.701198106
668	3.700470407
669	3.700318335
670	3.699800956
671	3.699461127
672	3.699155625
673	3.698854108
674	3.698641814
675	3.697869119
676	3.697812204
677	3.697023178
678	3.696636133
679	3.696479222
680	3.695547026
681	3.694081564
682	3.693886859
683	3.693486948
684	3.693311621
685	3.693202029
686	3.69303247
687	3.69249504
688	3.692344221
689	3.692128305
690	3.691817866
691	3.691323558
692	3.690634484
693	3.690311192
694	3.689964116
695	3.689843557
696	3.689456844
697	3.689223003
698	3.689088222
699	3.68886508
700	3.68827043
701	3.688187004
702	3.687977862
703	3.687922383
704	3.687240934
705	3.687125238
706	3.686570601
707	3.686143175
708	3.685446677
709	3.685010899
710	3.68494105
711	3.684722306
712	3.684554319
713	3.683879964
714	3.683572827
715	3.68307583
716	3.682893935
717	3.682722654
718	3.682536981
719	3.68244467
720	3.682215148
721	3.681738236
722	3.680905175
723	3.68060706
724	3.679350031
725	3.678976225
726	3.678737687
727	3.678456099
728	3.678216511
729	3.677962711
730	3.677652364
731	3.677459405
732	3.677349684
733	3.677229304
734	3.67678406
735	3.676604261
736	3.676339151
737	3.676233943
738	3.675953872
739	3.67592872
740	3.675847527
741	3.674979556
742	3.674874189
743	3.674551541
744	3.674511195
745	3.674360244
746	3.673845461
747	3.673389691
748	3.67329449
749	3.673187867
750	3.673025102
751	3.672485207
752	3.672097406
753	3.67140199
754	3.670771689
755	3.670705181
756	3.670415452
757	3.669722763
758	3.66946274
759	3.669042802
760	3.668578603
761	3.668511507
762	3.668332492
763	3.666743493
764	3.666530081
765	3.666286614
766	3.665925378
767	3.665794806
768	3.66551997
769	3.665272243
770	3.665202278
771	3.664935162
772	3.664721185
773	3.664583576
774	3.664359029
775	3.664130107
776	3.663770264
777	3.663121618
778	3.662690204
779	3.661732523
780	3.661535346
781	3.661444357
782	3.661000539
783	3.660501987
784	3.660349971
785	3.660026629
786	3.659966185
787	3.659700541
788	3.659533981
789	3.659027819
790	3.658850926
791	3.658672957
792	3.658423008
793	3.657963201
794	3.657567828
795	3.657280348
796	3.656798669
797	3.656580832
798	3.656529712
799	3.656233423
